cliente_id,channel_id,region
517643100,1625004744,GBA MINORISTAS
284734442,1625004744,GBA MINORISTAS
311974946,541481139,COSTA ATLANTICA
1805620481,1625004744,GBA MINORISTAS
-1598729431,1625004744,GBA MINORISTAS
1418058454,1625004744,GBA MINORISTAS
635311422,1625004744,GBA MINORISTAS
-87745672,-1756013582,GBA MINORISTAS
780720564,1625004744,COSTA ATLANTICA
1219113310,1625004744,COSTA ATLANTICA
847210250,870267989,GBA MINORISTAS
-328206424,1759010777,COSTA ATLANTICA
-1330387153,870267989,GBA MINORISTAS
1845204477,870267989,GBA MINORISTAS
-607852354,1759010777,GBA MINORISTAS
-1945882333,1059805429,GBA MINORISTAS
-1726584037,1625004744,GBA MINORISTAS
570460865,1625004744,GBA MINORISTAS
-725198444,1625004744,GBA MINORISTAS
-499308548,870267989,CENTRAL
1976581165,1625004744,CENTRAL
342748419,1625004744,CENTRAL
2140311169,1625004744,CENTRAL
-1518427221,870267989,CENTRAL
-646986593,1759010777,GBA MINORISTAS
1318086757,1625004744,CENTRAL
-443102265,1625004744,CENTRAL
395621132,1759010777,GBA MINORISTAS
1405299223,870267989,GBA MINORISTAS
428204898,1625004744,CENTRAL
159152561,1759010777,GBA MINORISTAS
1251800483,-635186254,GBA MINORISTAS
911896566,1625004744,CENTRAL
-1028682154,1625004744,GBA MINORISTAS
1548000911,870267989,CENTRAL
232612039,870267989,GBA MINORISTAS
-1170070088,1625004744,GBA MINORISTAS
-1030502966,1625004744,GBA MINORISTAS
-1609501957,870267989,GBA MINORISTAS
-544074458,541481139,GBA MINORISTAS
501949658,1625004744,CENTRAL
151621652,870267989,CENTRAL
-1597737970,1625004744,CENTRAL
1876630357,541481139,CENTRAL
-1539960722,1625004744,GBA MINORISTAS
-265450859,870267989,CENTRAL
231496071,870267989,CENTRAL
993218242,870267989,GBA MINORISTAS
-24081660,1625004744,GBA MINORISTAS
717384514,1625004744,CENTRAL
1115930626,1625004744,CENTRAL
-1456173519,870267989,GBA MINORISTAS
